code;url;product_name;generic_name;quantity;packaging;brands;categories;pnns_groups_1;pnns_groups_2;main_category;image_url;image_small_url
5060122039383;https://world.openfoodfacts.org/product/5060122039383;Bounty Chocolate Spread With Coconut Flakes;;200 g e;verre,pot,plastique;Bounty,Mars;Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner;Sugary snacks;Sweets;fr:pates-a-tartiner;https://static.openfoodfacts.org/images/products/506/012/203/9383/front_en.27.400.jpg;https://static.openfoodfacts.org/images/products/506/012/203/9383/front_en.27.200.jpg
4311596460403;https://world.openfoodfacts.org/product/4311596460403;Sprüh Sahne;Sprühfertiges Milchmischerzeugnis, wärmebehandelt, mit 30% Fett im Milchanteil, mit Zucker;250 ml;40 FE, dose, Flasche, Dosen;Gut & Günstig;Sprühsahne;unknown;unknown;de:spruhsahne;https://static.openfoodfacts.org/images/products/431/159/646/0403/front_de.9.400.jpg;https://static.openfoodfacts.org/images/products/431/159/646/0403/front_de.9.200.jpg
4311501359518;https://world.openfoodfacts.org/product/4311501359518;Grana Padano;;100 g;Kunststoff;Edeka;Milchprodukte,Fermentierte Lebensmittel,Fermentierte Milch,Käse,Italienischer Käse,Grana Padano;Milk and dairy products;Cheese;en:grana-padano;https://static.openfoodfacts.org/images/products/431/150/135/9518/front_de.24.400.jpg;https://static.openfoodfacts.org/images/products/431/150/135/9518/front_de.24.200.jpg
4311596435982;https://world.openfoodfacts.org/product/4311596435982;Natürliches Mineralwasser Still;;1.5 l;Flasche,PET,Einwegfand;Gut & Günstig;Getränke,Wasser,Quellwasser,Mineralwasser,Alkoholfreie Getränke,Natürliches Mineralwasser,Natürliches Mineralwasser ohne Kohlensäure;Beverages;Waters and flavored waters;en:non-carbonated-natural-mineral-waters;https://static.openfoodfacts.org/images/products/431/159/643/5982/front_en.11.400.jpg;https://static.openfoodfacts.org/images/products/431/159/643/5982/front_en.11.200.jpg
4005096027333;https://world.openfoodfacts.org/product/4005096027333;Halloumi Grillkäse;;225 g;Pappkarton;Greco;Grillkäse;unknown;unknown;de:grillkäse;https://static.openfoodfacts.org/images/products/400/509/602/7333/front_de.4.400.jpg;https://static.openfoodfacts.org/images/products/400/509/602/7333/front_de.4.200.jpg
4008366013555;https://world.openfoodfacts.org/product/4008366013555;Gelbe Karotten mit grünem Spargel und Romanesco in Rucola-Butter;;380 g;Produkt,Pappkarton;Frosta;Frostgemüse;unknown;unknown;de:frostgemüse;https://static.openfoodfacts.org/images/products/400/836/601/3555/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/400/836/601/3555/front_de.5.200.jpg
8000407024366;https://world.openfoodfacts.org/product/8000407024366;Grana Padano;Italienischer Hartkäse, mindestens 32% Fett i. Tr.;200 g;Kunststoff;Trentin;Milchprodukte,Fermentierte Lebensmittel,Fermentierte Milch,Käse,Italienischer Käse,Grana Padano;Milk and dairy products;Cheese;en:grana-padano;https://static.openfoodfacts.org/images/products/800/040/702/4366/front_en.23.400.jpg;https://static.openfoodfacts.org/images/products/800/040/702/4366/front_en.23.200.jpg
4311501626870;https://world.openfoodfacts.org/product/4311501626870;Rotes johannisbeer gelee;;450 g;Glas,70 GL,22 PAP,91;Gut & Günstig;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Brotaufstriche, Pflanzliche Brotaufstriche, Süße Brotaufstriche, Konfitüren und Marmeladen;Sugary snacks;Sweets;en:fruit-preserves;https://static.openfoodfacts.org/images/products/431/150/162/6870/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/431/150/162/6870/front_de.5.200.jpg
4008230208001;https://world.openfoodfacts.org/product/4008230208001;Alpen Kaffeesahne;Kaffeesahne;250 g;Glas,Glasflasche,Flasche;Saliter;Getränke,Milchprodukte,Milchersatz,Milch,Milchgetränke,Rahm,Kaffeegetränke,Kaffeesahne,Kaffeemilch,Getränkeweißer,Alkoholfreie Getränke;Beverages;Teas and herbal teas and coffees;en:coffee-milks;https://static.openfoodfacts.org/images/products/400/823/020/8001/front_de.4.400.jpg;https://static.openfoodfacts.org/images/products/400/823/020/8001/front_de.4.200.jpg
4260107220015;https://world.openfoodfacts.org/product/4260107220015;fritz-kola;Koffeinhaltige Limonade;330 ml;Glas,Mehrwegpfand;fritz-kola;Getränke, Kohlensäurehaltige Getränke, Erfrischungsgetränke, Cola, Gezuckerte Getränke;Beverages;Sweetened beverages;en:colas;https://static.openfoodfacts.org/images/products/426/010/722/0015/front_de.12.400.jpg;https://static.openfoodfacts.org/images/products/426/010/722/0015/front_de.12.200.jpg
4311596447510;https://world.openfoodfacts.org/product/4311596447510;Crème Fraîche;Crème Fraîche, 30% Fett;200 g;Kunststoff,Aluminium,Becher;Gut & Günstig;Milchprodukte, Rahm, fr:Crèmes entières;Milk and dairy products;Milk and yogurt;fr:cremes-entieres;https://static.openfoodfacts.org/images/products/431/159/644/7510/front_de.13.400.jpg;https://static.openfoodfacts.org/images/products/431/159/644/7510/front_de.13.200.jpg
4037400129037;https://world.openfoodfacts.org/product/4037400129037;Tropen-Früchte;Fruchtgummi;200 g;Kunststoff,Beutel;Katjes;Imbiss,Süßwaren,Konfekt,Bonbons,Gummibonbons,Gummibärchen;Sugary snacks;Sweets;en:gummy-bears;https://static.openfoodfacts.org/images/products/403/740/012/9037/front_de.22.400.jpg;https://static.openfoodfacts.org/images/products/403/740/012/9037/front_de.22.200.jpg
7314710210004;https://world.openfoodfacts.org/product/7314710210004;Haferflockengebäck;;600 g;Karton,Kunststoff;Gille;fr:Biscuits;Sugary snacks;Biscuits and cakes;en:biscuits;https://static.openfoodfacts.org/images/products/731/471/021/0004/front_de.4.400.jpg;https://static.openfoodfacts.org/images/products/731/471/021/0004/front_de.4.200.jpg
4311501601662;https://world.openfoodfacts.org/product/4311501601662;Speisequark 40% Fett i. Tr.;;250 g;06 PS,84 C/PAP;Gut & Günstig;Milchprodukte,Fermentierte Lebensmittel,Fermentierte Milch,Käse,Frischkäse,Quark,Quark Fettstufe;Milk and dairy products;Cheese;en:creamy-quark;https://static.openfoodfacts.org/images/products/431/150/160/1662/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/431/150/160/1662/front_de.6.200.jpg
